Date,msft,msft,msft,msft,msft
2015-01-02,39.99869918823242,40.56326583298269,39.810512482054385,39.9131600729795,27913900
2015-01-05,39.6308708190918,39.97303047791457,39.56243692946277,39.665084500798855,39673900
2015-01-06,39.04920196533203,39.99014525430785,38.955106983812854,39.67364662264987,36447900
2015-01-07,39.54533004760742,39.74207259354287,38.91233285861642,39.331479028576595,29114100
2015-01-08,40.70868682861328,40.84555137284614,39.96448607329138,39.990147155613755,29645200
2015-01-09,40.36653518676758,40.90544090882414,40.118470373981324,40.72580675584163,23944200
2015-01-12,39.8618278503418,40.66590975431537,39.65653270349016,40.56325891778203,23651900
2015-01-13,39.656532287597656,40.98240791272693,39.39991172517062,40.178329280293546,35270600
2015-01-14,39.31438446044922,39.55389990539029,39.02354684117765,39.31438446044922,29719600
2015-01-15,38.90378952026367,39.67365474196828,38.84391147669872,39.53679017623286,32750800
2015-01-16,39.55390167236328,39.58811536907578,38.63861594424002,38.75837530361488,35695300
2015-01-20,39.68220901489258,39.90461598298834,38.98077767817599,39.60522248949155,36161900
2015-01-21,39.2801628112793,39.46835279630728,38.90378610433168,39.297271288382596,39081100
2015-01-22,40.31520080566406,40.32375341188506,39.417027049488865,39.673647656523485,35898000
2015-01-23,40.357967376708984,40.537601462030445,40.032912891526486,40.51194038215818,26211600
2015-01-26,40.212554931640625,40.31520579765155,39.55389648850038,40.204002324360616,42525500
2015-01-27,36.49153518676758,36.953454138486656,36.02106363065697,36.73960313451753,169164000
2015-01-28,35.234100341796875,36.60274911749204,35.20843925815721,36.5599795570565,84507100
2015-01-29,35.935523986816406,36.029618957770666,34.89193322749696,35.01168927667234,63585300
2015-01-30,34.55833435058594,35.56771166592927,34.5155615259342,35.54204731851655,78004900
2015-02-02,35.31108474731445,35.38807125674468,34.41291097936716,34.720857017088086,50352500
2015-02-03,35.58481979370117,35.86710479659553,35.11434805198589,35.61048414321525,52082400
2015-02-04,35.79011917114258,36.10661787613917,35.37952546282325,35.87565830337666,41614800
2015-02-05,36.31190872192383,36.47443434421712,35.80722011646692,36.115166148692566,36548200
2015-02-06,36.27769470214844,36.6027492361068,36.05529102929796,36.50865424497873,34616600
2015-02-09,36.23491668701172,36.5599711451263,36.10660477211957,36.132269112962526,31381100
2015-02-10,36.44021987915039,36.585640299003,36.08095165911735,36.559979215603,29670700
2015-02-11,36.252037048339844,36.48299661302191,36.10661661289916,36.48299661302191,38262500
2015-02-12,36.859375,36.859375,36.36323889148696,36.491550854201364,33268800
2015-02-13,37.52658462524414,37.52658462524414,36.91069576624538,37.10743835789441,40264900
2015-02-17,37.54380798339844,37.905632901841315,37.20782347670593,37.87978920376107,33695700
2015-02-18,37.5007438659668,37.647199207663675,37.380135517705256,37.586895033532905,27111700
2015-02-19,37.47490310668945,37.50074681582668,37.08723103797469,37.19922592145479,27603400
2015-02-20,37.7850227355957,37.80225296224427,37.293972778265505,37.483498698740334,29721100
2015-02-23,38.03486251831055,38.06931969109935,37.60411663831306,37.64719056904676,32518800
2015-02-24,37.98318099975586,38.16409352431251,37.83672565630686,38.034871700913925,25271700
2015-02-25,37.897029876708984,37.983177751607734,37.733344313538275,37.86256941221717,29759800
2015-02-26,37.957313537597656,38.10376550306187,37.810858285804436,37.897009400485445,28957300
2015-02-27,37.77642059326172,38.07794474676448,37.612738306272895,38.01764057333013,33807700
2015-03-02,37.802268981933594,38.06932939233588,37.517975051249884,37.62135316862073,31924000
2015-03-03,37.28535842895508,37.75918147655689,37.12167619472076,37.52657833127871,31748600
2015-03-04,37.09585189819336,37.22507374449162,36.940783053570144,37.05277466309563,25748700
2015-03-05,37.1389045715332,37.25089940323288,36.88907121094538,37.104444117728725,23193500
2015-03-06,36.49279022216797,37.13890901990797,36.31187774752001,37.044144403759944,36248800
2015-03-09,36.914913177490234,37.15613305648296,36.34632886169174,36.34632886169174,32108000
2015-03-10,36.208492279052734,36.794306852329356,36.208492279052734,36.484169338673524,39159700
2015-03-11,36.16542053222656,36.501401763473524,36.04481222217176,36.44971436563859,32215300
2015-03-12,35.33839797973633,35.881138794564905,35.20055940778487,35.605461650661994,59992500
2015-03-13,35.648529052734375,35.72606344063829,34.985180019851974,35.06271440775589,58007700
2015-03-16,35.8036003112793,35.87251794623388,35.56238037311225,35.72606591799889,35273500
2015-03-17,35.9242057800293,36.036200625044884,35.450385986035855,35.639911931835144,31673400
2015-03-18,36.613407135009766,36.897701050202805,35.6054631513201,35.69161103004658,44194800
2015-03-19,36.4324951171875,36.690942043239836,36.372190943986325,36.40664812415059,33879100
2015-03-20,36.940765380859375,37.02691323717783,36.6047841403553,36.665088297044235,71904500
2015-03-23,36.92353439331055,37.15613754418495,36.854613480608506,36.94076462148606,26246100
2015-03-24,36.95800018310547,37.19060008121658,36.82877509630554,36.854618799133334,25513300
2015-03-25,35.717445373535156,36.98383923409744,35.70021514504036,36.975222476685005,43469900
2015-03-26,35.50206756591797,35.84666551577752,35.252234216586274,35.51068432214574,37495600
2015-03-27,35.295326232910156,35.69161174107602,35.17471788575802,35.42454805357416,34401400
2015-03-30,35.28670120239258,35.78636799357241,35.243627272267126,35.40730952127593,35049700
2015-03-31,35.02825927734375,35.347010348839994,34.92488117319131,35.13163738149618,34887200
2015-04-01,35.079952239990234,35.11440941938108,34.72674068216966,34.976570842825026,36865300
2015-04-02,34.70949172973633,35.09716354419892,34.56303647257085,35.028242649925964,37487500
2015-04-06,35.79497528076172,35.993117954169826,34.614732710317945,34.75257123470313,39223700
