Datetime,msft,msft,msft,msft,msft
2025-07-31 13:30:00+00:00,544.6649780273438,555.4500122070312,543.3579711914062,546.7050170898438,7844426
2025-07-31 13:35:00+00:00,543.5001831054688,545.1849975585938,540.4500122070312,544.6599731445312,2278825
2025-07-31 13:40:00+00:00,542.260009765625,544.010009765625,539.3699951171875,543.5,1414558
2025-07-31 13:45:00+00:00,539.7800903320312,542.698974609375,538.22998046875,540.3300170898438,1487542
2025-07-31 13:50:00+00:00,540.3200073242188,541.7000122070312,538.5999755859375,539.8800048828125,1231205
2025-07-31 13:55:00+00:00,536.1699829101562,540.2849731445312,536.0900268554688,540.2849731445312,1401038
2025-07-31 14:00:00+00:00,537.4650268554688,537.72998046875,535.6699829101562,536.155029296875,1082696
2025-07-31 14:05:00+00:00,538.5,539.5798950195312,537.3099975585938,537.4650268554688,870581
2025-07-31 14:10:00+00:00,538.8499755859375,538.989990234375,536.4619750976562,538.5698852539062,825122
2025-07-31 14:15:00+00:00,539.0399780273438,539.7899780273438,538.1500244140625,538.909912109375,629022
2025-07-31 14:20:00+00:00,539.8099975585938,540.1300048828125,537.3300170898438,539.1099853515625,928556
2025-07-31 14:25:00+00:00,537.7000732421875,540.010009765625,537.6300048828125,539.7999877929688,643718
2025-07-31 14:30:00+00:00,536.8676147460938,538.969970703125,536.5150146484375,537.760009765625,589763
2025-07-31 14:35:00+00:00,536.1051025390625,537.368896484375,535.0700073242188,536.8099975585938,760168
2025-07-31 14:40:00+00:00,535.1812744140625,536.3699951171875,534.6185913085938,536.14501953125,549448
2025-07-31 14:45:00+00:00,536.9749755859375,537.1699829101562,534.4099731445312,535.27001953125,864254
2025-07-31 14:50:00+00:00,536.3099975585938,537.3779907226562,535.75,536.9500122070312,460973
2025-07-31 14:55:00+00:00,535.094970703125,536.469970703125,534.6300048828125,536.239990234375,615260
2025-07-31 15:00:00+00:00,535.9400024414062,536.39990234375,535.0399780273438,535.0499877929688,462832
2025-07-31 15:05:00+00:00,536.1699829101562,536.4199829101562,535.219970703125,535.8734130859375,389523
2025-07-31 15:10:00+00:00,536.3200073242188,537.5800170898438,536.0399780273438,536.1599731445312,464884
2025-07-31 15:15:00+00:00,535.5250244140625,537.1699829101562,535.4000244140625,536.2305908203125,393042
2025-07-31 15:20:00+00:00,535.7100219726562,537.030029296875,535.5875854492188,535.5900268554688,273264
2025-07-31 15:25:00+00:00,537.0,537.219970703125,535.5,535.739990234375,322061
2025-07-31 15:30:00+00:00,536.1500244140625,537.697998046875,535.739990234375,537.0399780273438,474453
2025-07-31 15:35:00+00:00,536.719970703125,537.0399780273438,536.0900268554688,536.0900268554688,344435
2025-07-31 15:40:00+00:00,536.469970703125,536.9000244140625,535.260009765625,536.7999877929688,327902
2025-07-31 15:45:00+00:00,535.8699951171875,536.6699829101562,535.6799926757812,536.4400024414062,276693
2025-07-31 15:50:00+00:00,535.9749755859375,536.25,535.5399780273438,535.864990234375,203800
2025-07-31 15:55:00+00:00,536.72998046875,536.7999877929688,535.530029296875,535.989990234375,192628
2025-07-31 16:00:00+00:00,536.260009765625,537.22998046875,536.2301025390625,536.6400146484375,280087
2025-07-31 16:05:00+00:00,536.2968139648438,536.3800048828125,535.5700073242188,536.219970703125,301594
2025-07-31 16:10:00+00:00,536.75,537.0499877929688,536.25,536.33251953125,234003
2025-07-31 16:15:00+00:00,536.1500244140625,536.780029296875,535.7550048828125,536.7449951171875,201050
2025-07-31 16:20:00+00:00,536.5999755859375,536.6998901367188,536.0700073242188,536.1320190429688,185036
2025-07-31 16:25:00+00:00,536.4580078125,536.7899780273438,536.4000854492188,536.60498046875,166670
2025-07-31 16:30:00+00:00,536.2100219726562,537.14990234375,536.2100219726562,536.4500122070312,334809
2025-07-31 16:35:00+00:00,535.344970703125,536.5399169921875,535.1799926757812,536.2399291992188,263935
2025-07-31 16:40:00+00:00,536.2750244140625,536.3399047851562,535.1400146484375,535.344970703125,363563
2025-07-31 16:45:00+00:00,535.7000122070312,536.47998046875,535.5999755859375,536.2750244140625,210152
2025-07-31 16:50:00+00:00,536.364990234375,536.423583984375,535.4000244140625,535.6699829101562,210773
2025-07-31 16:55:00+00:00,536.4199829101562,537.0,536.2800903320312,536.364990234375,234771
2025-07-31 17:00:00+00:00,535.7750244140625,536.77001953125,535.6199951171875,536.4550170898438,268882
2025-07-31 17:05:00+00:00,535.114990234375,535.9500122070312,534.739990234375,535.77001953125,238008
2025-07-31 17:10:00+00:00,535.4000244140625,535.5800170898438,535.02001953125,535.0499877929688,158277
2025-07-31 17:15:00+00:00,535.0399780273438,535.7100219726562,534.5999755859375,535.4287719726562,177497
2025-07-31 17:20:00+00:00,535.219970703125,535.3099975585938,534.5900268554688,535.0499877929688,187053
2025-07-31 17:25:00+00:00,534.4967041015625,535.25,533.6649780273438,535.2100219726562,328372
2025-07-31 17:30:00+00:00,534.0017700195312,534.510009765625,533.3150024414062,534.510009765625,258141
2025-07-31 17:35:00+00:00,534.385009765625,534.6099853515625,533.9000244140625,534.0280151367188,227390
2025-07-31 17:40:00+00:00,535.0275268554688,535.1099853515625,534.4099731445312,534.4299926757812,167703
2025-07-31 17:45:00+00:00,534.739990234375,535.5,534.5700073242188,535.030029296875,174803
2025-07-31 17:50:00+00:00,533.5499877929688,534.77001953125,533.4500122070312,534.72998046875,227049
2025-07-31 17:55:00+00:00,533.4199829101562,533.7849731445312,532.8499755859375,533.52001953125,278110
2025-07-31 18:00:00+00:00,532.8499755859375,533.9249877929688,532.8400268554688,533.375,211585
