Datetime,tsla,tsla,tsla,tsla,tsla
2025-07-31 13:30:00+00:00,319.92999267578125,320.25,318.6000061035156,319.7799987792969,4268292
2025-07-31 13:35:00+00:00,319.3952941894531,320.70001220703125,318.7300109863281,319.9200134277344,1377255
2025-07-31 13:40:00+00:00,320.0849914550781,321.3699035644531,319.19000244140625,319.260009765625,1713669
2025-07-31 13:45:00+00:00,319.25,320.7699890136719,318.75,320.1099853515625,1289006
2025-07-31 13:50:00+00:00,318.30621337890625,320.0,318.1199951171875,319.260009765625,1298989
2025-07-31 13:55:00+00:00,318.0675048828125,319.0400085449219,317.80999755859375,318.3500061035156,1187630
2025-07-31 14:00:00+00:00,318.59991455078125,319.1499938964844,318.04998779296875,318.1199951171875,953888
2025-07-31 14:05:00+00:00,317.96258544921875,318.79998779296875,317.6400146484375,318.5,1028017
2025-07-31 14:10:00+00:00,318.135009765625,318.25,316.8800048828125,317.8999938964844,1383346
2025-07-31 14:15:00+00:00,317.7904968261719,318.45001220703125,317.2101135253906,318.1600036621094,927119
2025-07-31 14:20:00+00:00,317.0365905761719,317.8299865722656,316.6000061035156,317.8299865722656,975963
2025-07-31 14:25:00+00:00,316.2900085449219,317.30999755859375,316.0299987792969,317.0299987792969,1096771
2025-07-31 14:30:00+00:00,316.885009765625,316.9309997558594,315.70001220703125,316.2900085449219,1043562
2025-07-31 14:35:00+00:00,316.07501220703125,317.3999938964844,316.0199890136719,316.86981201171875,908383
2025-07-31 14:40:00+00:00,316.20001220703125,316.71868896484375,315.8500061035156,316.0783996582031,846667
2025-07-31 14:45:00+00:00,314.8500061035156,316.19500732421875,314.79998779296875,316.19000244140625,1243307
2025-07-31 14:50:00+00:00,314.239990234375,314.9599914550781,313.5400085449219,314.8500061035156,1561999
2025-07-31 14:55:00+00:00,313.1993103027344,314.2598876953125,313.1000061035156,314.2408142089844,1097413
2025-07-31 15:00:00+00:00,314.5299987792969,314.9599914550781,313.1000061035156,313.1600036621094,1320840
2025-07-31 15:05:00+00:00,313.8550109863281,314.8800048828125,313.5299987792969,314.54998779296875,948060
2025-07-31 15:10:00+00:00,312.8008117675781,314.0,312.75,313.8999938964844,1144052
2025-07-31 15:15:00+00:00,312.5450134277344,313.0799865722656,311.8900146484375,312.8399963378906,1459672
2025-07-31 15:20:00+00:00,311.5421142578125,313.2349853515625,311.5,312.55999755859375,1345022
2025-07-31 15:25:00+00:00,312.4200134277344,312.79998779296875,311.5,311.5400085449219,1012678
2025-07-31 15:30:00+00:00,312.693603515625,313.1000061035156,311.8500061035156,312.44989013671875,1029393
2025-07-31 15:35:00+00:00,313.0899963378906,313.3559875488281,312.5201110839844,312.70001220703125,857424
2025-07-31 15:40:00+00:00,313.0350036621094,313.2200012207031,312.6173095703125,313.0,553682
2025-07-31 15:45:00+00:00,312.5111999511719,313.08160400390625,312.260009765625,313.0350036621094,607294
2025-07-31 15:50:00+00:00,311.9700927734375,312.5899963378906,311.92999267578125,312.510009765625,725450
2025-07-31 15:55:00+00:00,312.2300109863281,312.2825012207031,311.7300109863281,312.0150146484375,613489
2025-07-31 16:00:00+00:00,312.1860046386719,312.7300109863281,312.1632995605469,312.25,630634
2025-07-31 16:05:00+00:00,312.2449951171875,312.6650085449219,311.92999267578125,312.1722106933594,554703
2025-07-31 16:10:00+00:00,312.7250061035156,312.8599853515625,312.0199890136719,312.2449951171875,567552
2025-07-31 16:15:00+00:00,313.7701110839844,313.8385925292969,312.7349853515625,312.7467041015625,955081
2025-07-31 16:20:00+00:00,313.2950134277344,314.1000061035156,313.0,313.75,904271
2025-07-31 16:25:00+00:00,313.5899963378906,313.95001220703125,313.2900085449219,313.29998779296875,1089247
