Datetime,googl,googl,googl,googl,googl
2025-07-31 13:30:00+00:00,192.49000549316406,195.99000549316406,191.94000244140625,194.1300048828125,3949919
2025-07-31 13:35:00+00:00,194.10499572753906,194.10499572753906,192.00999450683594,192.49000549316406,1392880
2025-07-31 13:40:00+00:00,193.17999267578125,194.19000244140625,192.83999633789062,194.08999633789062,1191332
2025-07-31 13:45:00+00:00,193.4600067138672,193.88510131835938,192.63499450683594,193.17999267578125,1134799
2025-07-31 13:50:00+00:00,193.36500549316406,193.52999877929688,192.427001953125,193.47999572753906,1015339
2025-07-31 13:55:00+00:00,193.52499389648438,194.25,193.32000732421875,193.36000061035156,921830
2025-07-31 14:00:00+00:00,193.58999633789062,193.91000366210938,193.33999633789062,193.50999450683594,731685
2025-07-31 14:05:00+00:00,194.13999938964844,194.27000427246094,193.52000427246094,193.59750366210938,629809
2025-07-31 14:10:00+00:00,194.0500030517578,194.44500732421875,193.77999877929688,194.16000366210938,595226
2025-07-31 14:15:00+00:00,194.22000122070312,194.41000366210938,193.99000549316406,194.0500030517578,653743
2025-07-31 14:20:00+00:00,194.30580139160156,194.41000366210938,194.0500030517578,194.24000549316406,360830
2025-07-31 14:25:00+00:00,193.914794921875,194.50999450683594,193.88999938964844,194.30499267578125,547353
2025-07-31 14:30:00+00:00,193.4499969482422,194.02999877929688,193.36000061035156,193.91859436035156,584210
2025-07-31 14:35:00+00:00,192.77000427246094,193.52000427246094,192.49000549316406,193.44000244140625,882222
2025-07-31 14:40:00+00:00,193.0850067138672,193.27999877929688,192.64500427246094,192.7949981689453,626400
2025-07-31 14:45:00+00:00,192.44000244140625,193.08999633789062,192.1699981689453,193.05499267578125,1080835
2025-07-31 14:50:00+00:00,192.43499755859375,192.5500030517578,192.13999938964844,192.42999267578125,1113335
2025-07-31 14:55:00+00:00,191.89999389648438,192.64999389648438,191.8800048828125,192.42990112304688,933867
2025-07-31 15:00:00+00:00,191.91000366210938,192.17999267578125,191.73500061035156,191.89999389648438,1138274
2025-07-31 15:05:00+00:00,191.610107421875,192.1999969482422,191.58299255371094,191.91000366210938,775125
2025-07-31 15:10:00+00:00,191.54510498046875,191.8350067138672,191.40499877929688,191.61000061035156,571895
2025-07-31 15:15:00+00:00,191.42999267578125,191.6699981689453,191.1999969482422,191.53640747070312,1443554
2025-07-31 15:20:00+00:00,191.88999938964844,192.11000061035156,191.42999267578125,191.4499969482422,518128
2025-07-31 15:25:00+00:00,192.38999938964844,192.58749389648438,191.84449768066406,191.89100646972656,522517
2025-07-31 15:30:00+00:00,192.52999877929688,192.55999755859375,192.08999633789062,192.4199981689453,433525
2025-07-31 15:35:00+00:00,192.9550018310547,192.9600067138672,192.49000549316406,192.52000427246094,287272
2025-07-31 15:40:00+00:00,192.7899932861328,192.9550018310547,192.74000549316406,192.9550018310547,382284
2025-07-31 15:45:00+00:00,192.89999389648438,193.02999877929688,192.75999450683594,192.7899932861328,454229
2025-07-31 15:50:00+00:00,193.09500122070312,193.2270050048828,192.80999755859375,192.88999938964844,299677
2025-07-31 15:55:00+00:00,193.25999450683594,193.3350067138672,193.07000732421875,193.11000061035156,291401
2025-07-31 16:00:00+00:00,193.2906951904297,193.39999389648438,193.15499877929688,193.25,190253
2025-07-31 16:05:00+00:00,193.86000061035156,193.93499755859375,193.27000427246094,193.27999877929688,373842
2025-07-31 16:10:00+00:00,193.8350067138672,193.9261932373047,193.72000122070312,193.84500122070312,298697
2025-07-31 16:15:00+00:00,193.735107421875,193.94500732421875,193.64999389648438,193.8300018310547,264968
2025-07-31 16:20:00+00:00,193.8300018310547,193.8300018310547,193.68499755859375,193.73500061035156,154671
2025-07-31 16:25:00+00:00,193.77999877929688,193.97000122070312,193.70530700683594,193.82000732421875,322676
2025-07-31 16:30:00+00:00,193.5050048828125,193.8444061279297,193.47999572753906,193.77999877929688,285513
2025-07-31 16:35:00+00:00,192.9499969482422,193.55499267578125,192.9199981689453,193.5,318025
2025-07-31 16:40:00+00:00,192.94000244140625,193.1199951171875,192.7550048828125,192.95899963378906,352126
2025-07-31 16:45:00+00:00,192.72500610351562,192.9550018310547,192.63510131835938,192.9199981689453,237266
2025-07-31 16:50:00+00:00,192.84500122070312,192.8800048828125,192.58999633789062,192.75,185158
2025-07-31 16:55:00+00:00,192.88499450683594,192.91000366210938,192.7050018310547,192.84500122070312,186334
2025-07-31 17:00:00+00:00,192.61000061035156,192.9250030517578,192.52000427246094,192.8800048828125,327757
2025-07-31 17:05:00+00:00,192.80499267578125,192.90499877929688,192.50999450683594,192.60000610351562,218657
2025-07-31 17:10:00+00:00,192.72500610351562,192.86500549316406,192.7100067138672,192.80999755859375,151340
2025-07-31 17:15:00+00:00,192.82989501953125,192.85000610351562,192.6199951171875,192.7100067138672,149409
2025-07-31 17:20:00+00:00,192.67010498046875,192.89999389648438,192.66000366210938,192.80999755859375,201078
2025-07-31 17:25:00+00:00,192.0399932861328,192.77000427246094,191.91000366210938,192.67999267578125,573450
2025-07-31 17:30:00+00:00,192.24000549316406,192.2550048828125,191.8699951171875,192.0500030517578,494849
2025-07-31 17:35:00+00:00,192.6199951171875,192.63999938964844,192.24000549316406,192.24000549316406,334865
2025-07-31 17:40:00+00:00,192.8699951171875,192.94000244140625,192.61000061035156,192.63999938964844,231531
2025-07-31 17:45:00+00:00,192.72000122070312,193.11500549316406,192.6999969482422,192.87100219726562,224678
2025-07-31 17:50:00+00:00,192.44000244140625,192.75999450683594,192.1699981689453,192.7100067138672,775074
