Datetime,aapl,aapl,aapl,aapl,aapl
2025-07-31 13:30:00+00:00,208.72999572753906,208.91000366210938,207.8249969482422,208.3800048828125,3576685
2025-07-31 13:35:00+00:00,208.91000366210938,209.4499969482422,208.2550048828125,208.7169952392578,1103835
2025-07-31 13:40:00+00:00,208.94000244140625,209.02000427246094,208.4499969482422,208.91000366210938,876046
2025-07-31 13:45:00+00:00,208.6750030517578,209.01499938964844,208.3699951171875,208.94000244140625,754265
2025-07-31 13:50:00+00:00,208.94000244140625,209.0449981689453,208.63999938964844,208.6999969482422,642561
2025-07-31 13:55:00+00:00,208.48500061035156,209.08999633789062,208.4199981689453,208.91000366210938,734534
2025-07-31 14:00:00+00:00,208.65499877929688,209.0,208.3699951171875,208.47000122070312,601719
2025-07-31 14:05:00+00:00,208.8000030517578,208.96499633789062,208.53500366210938,208.63999938964844,572810
2025-07-31 14:10:00+00:00,209.49000549316406,209.6199951171875,208.7100067138672,208.7899932861328,758740
2025-07-31 14:15:00+00:00,209.57000732421875,209.68150329589844,209.11000061035156,209.49000549316406,653285
2025-07-31 14:20:00+00:00,209.07000732421875,209.5800018310547,208.82000732421875,209.57000732421875,535683
2025-07-31 14:25:00+00:00,208.8424072265625,209.1999969482422,208.80999755859375,209.03500366210938,527361
2025-07-31 14:30:00+00:00,209.23500061035156,209.5500030517578,208.8592987060547,208.86000061035156,735324
2025-07-31 14:35:00+00:00,209.07000732421875,209.30079650878906,208.94000244140625,209.23500061035156,515028
2025-07-31 14:40:00+00:00,209.30999755859375,209.39999389648438,208.97999572753906,209.06939697265625,513386
2025-07-31 14:45:00+00:00,209.04600524902344,209.36000061035156,209.0399932861328,209.32000732421875,513553
2025-07-31 14:50:00+00:00,208.86549377441406,209.35000610351562,208.75999450683594,209.0511932373047,812658
2025-07-31 14:55:00+00:00,208.97999572753906,209.0189971923828,208.72000122070312,208.8800048828125,669974
2025-07-31 15:00:00+00:00,209.05499267578125,209.24000549316406,208.9199981689453,208.97999572753906,568955
2025-07-31 15:05:00+00:00,208.6300048828125,209.0749969482422,208.6300048828125,209.0511932373047,425077
2025-07-31 15:10:00+00:00,208.32949829101562,208.72000122070312,208.30999755859375,208.6199951171875,469423
2025-07-31 15:15:00+00:00,208.22999572753906,208.47999572753906,208.1549072265625,208.3300018310547,602566
2025-07-31 15:20:00+00:00,208.30999755859375,208.59869384765625,208.22000122070312,208.2449951171875,483524
2025-07-31 15:25:00+00:00,208.28280639648438,208.35000610351562,208.07000732421875,208.30499267578125,399599
2025-07-31 15:30:00+00:00,208.52999877929688,208.75,208.1699981689453,208.27000427246094,650606
2025-07-31 15:35:00+00:00,208.7899932861328,208.84100341796875,208.49000549316406,208.51499938964844,511252
2025-07-31 15:40:00+00:00,208.83380126953125,208.9199981689453,208.61000061035156,208.77999877929688,422197
2025-07-31 15:45:00+00:00,208.5800018310547,208.86000061035156,208.57000732421875,208.8300018310547,410152
2025-07-31 15:50:00+00:00,208.4199981689453,208.74000549316406,208.31570434570312,208.6199951171875,386463
2025-07-31 15:55:00+00:00,208.61500549316406,208.69000244140625,208.41000366210938,208.43389892578125,407721
2025-07-31 16:00:00+00:00,208.72999572753906,208.86000061035156,208.6199951171875,208.6199951171875,304705
2025-07-31 16:05:00+00:00,208.94000244140625,209.0,208.6699981689453,208.72000122070312,239599
2025-07-31 16:10:00+00:00,208.7899932861328,208.97999572753906,208.77000427246094,208.92999267578125,248678
2025-07-31 16:15:00+00:00,208.94039916992188,208.97000122070312,208.72479248046875,208.7899932861328,308526
2025-07-31 16:20:00+00:00,208.639892578125,208.97000122070312,208.61000061035156,208.93319702148438,332520
2025-07-31 16:25:00+00:00,208.95449829101562,208.9550018310547,208.61000061035156,208.64990234375,269640
2025-07-31 16:30:00+00:00,209.00999450683594,209.14999389648438,208.86000061035156,208.9499969482422,335571
2025-07-31 16:35:00+00:00,209.14500427246094,209.14990234375,208.92999267578125,209.0050048828125,279875
2025-07-31 16:40:00+00:00,209.25,209.31520080566406,209.05999755859375,209.14999389648438,345376
2025-07-31 16:45:00+00:00,209.08999633789062,209.37989807128906,208.97999572753906,209.25999450683594,385453
2025-07-31 16:50:00+00:00,209.13040161132812,209.1999969482422,208.9600067138672,209.08999633789062,353169
2025-07-31 16:55:00+00:00,209.06719970703125,209.27000427246094,208.99020385742188,209.1300048828125,423212
2025-07-31 17:00:00+00:00,209.02000427246094,209.1103973388672,208.74000549316406,209.06820678710938,417111
2025-07-31 17:05:00+00:00,209.38999938964844,209.44000244140625,209.02999877929688,209.0399932861328,599085
2025-07-31 17:10:00+00:00,209.66099548339844,209.83999633789062,209.3300018310547,209.3800048828125,714419
2025-07-31 17:15:00+00:00,209.44500732421875,209.6999969482422,209.42010498046875,209.65499877929688,378928
2025-07-31 17:20:00+00:00,209.2050018310547,209.52999877929688,209.17999267578125,209.43499755859375,449579
2025-07-31 17:25:00+00:00,208.6649932861328,209.23049926757812,208.5,209.2050018310547,468024
2025-07-31 17:30:00+00:00,208.47000122070312,208.7310028076172,208.32730102539062,208.6649932861328,407492
2025-07-31 17:35:00+00:00,208.7458038330078,208.77999877929688,208.47000122070312,208.47000122070312,334974
2025-07-31 17:40:00+00:00,208.65499877929688,208.8800048828125,208.4199981689453,208.72000122070312,319117
2025-07-31 17:45:00+00:00,208.75,208.9199981689453,208.66000366210938,208.66000366210938,294414
2025-07-31 17:50:00+00:00,208.50439453125,208.76480102539062,208.375,208.72999572753906,317034
